CARRIER_CODE,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CARRIER_NAME,OriginAirport,OriginLat,OriginLon,DestAirport,DestLat,DestLon
AA,CLT,NC,SYR,NY,5,2358.0,-7.0,146,131.0,-15.0,0.0,,93.0,603.0,0.0,0.0,0.0,0.0,0.0,American,Charlotte Douglas International Airport,35.2140007,-80.94309998,Syracuse Hancock International Airport,43.11119843,-76.10630035
AA,CLT,NC,SYR,NY,1640,1636.0,-4.0,1829,1822.0,-7.0,0.0,,106.0,603.0,0.0,0.0,0.0,0.0,0.0,American,Charlotte Douglas International Airport,35.2140007,-80.94309998,Syracuse Hancock International Airport,43.11119843,-76.10630035
B6,FLL,FL,SYR,NY,1955,1946.0,-9.0,2255,2239.0,-16.0,0.0,,173.0,1197.0,0.0,0.0,0.0,0.0,0.0,JetBlue,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,Syracuse Hancock International Airport,43.11119843,-76.10630035
B6,JFK,NY,SYR,NY,910,908.0,-2.0,1027,1021.0,-6.0,0.0,,73.0,209.0,0.0,0.0,0.0,0.0,0.0,JetBlue,John F Kennedy International Airport,40.63980103,-73.77890015,Syracuse Hancock International Airport,43.11119843,-76.10630035
B6,JFK,NY,SYR,NY,1645,1701.0,16.0,1758,1802.0,4.0,0.0,,61.0,209.0,0.0,0.0,0.0,0.0,0.0,JetBlue,John F Kennedy International Airport,40.63980103,-73.77890015,Syracuse Hancock International Airport,43.11119843,-76.10630035
B6,MCO,FL,SYR,NY,1404,1404.0,0.0,1644,1640.0,-4.0,0.0,,156.0,1053.0,0.0,0.0,0.0,0.0,0.0,JetBlue,Orlando International Airport,28.42939949,-81.30899811,Syracuse Hancock International Airport,43.11119843,-76.10630035
DL,ATL,GA,SYR,NY,902,904.0,2.0,1107,1058.0,-9.0,0.0,,114.0,794.0,0.0,0.0,0.0,0.0,0.0,Delta,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Syracuse Hancock International Airport,43.11119843,-76.10630035
DL,ATL,GA,SYR,NY,2130,2128.0,-2.0,2340,2328.0,-12.0,0.0,,120.0,794.0,0.0,0.0,0.0,0.0,0.0,Delta,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Syracuse Hancock International Airport,43.11119843,-76.10630035
AA,CLT,NC,JAX,FL,10,6.0,-4.0,125,123.0,-2.0,0.0,,77.0,328.0,0.0,0.0,0.0,0.0,0.0,American,Charlotte Douglas International Airport,35.2140007,-80.94309998,Jacksonville International Airport,30.49410057,-81.68789673
AA,CLT,NC,JAX,FL,2029,2036.0,7.0,2151,2142.0,-9.0,0.0,,66.0,328.0,0.0,0.0,0.0,0.0,0.0,American,Charlotte Douglas International Airport,35.2140007,-80.94309998,Jacksonville International Airport,30.49410057,-81.68789673
